PCI,Latitude,Longitude,Time
5,19.10844569,72.84858749,2024:10:04 11:31:27
7,19.10835635,72.84856291,2024:10:04 11:31:28
7,19.10828149,72.84854869,2024:10:04 11:31:29
7,19.10822185,72.84853182,2024:10:04 11:31:30
5,19.10817459,72.84851658,2024:10:04 11:31:31
5,19.10813227,72.8484856,2024:10:04 11:31:32
5,19.10809858,72.8484721,2024:10:04 11:31:33
5,19.10808669,72.84846692,2024:10:04 11:31:34
5,19.10805947,72.84845157,2024:10:04 11:31:35
5,19.10802069,72.84843441,2024:10:04 11:31:36
5,19.10797377,72.84841587,2024:10:04 11:31:37
5,19.10791093,72.84839146,2024:10:04 11:31:37
5,19.10784823,72.84836335,2024:10:04 11:31:38
5,19.10778696,72.8483364,2024:10:04 11:31:38
5,19.10772739,72.84829988,2024:10:04 11:31:38
5,19.10765921,72.8482711,2024:10:04 11:31:38
5,19.10759013,72.84823734,2024:10:04 11:31:38
5,19.10752813,72.8482024,2024:10:04 11:31:38
5,19.10746656,72.84817228,2024:10:04 11:31:39
5,19.10740407,72.84814429,2024:10:04 11:31:39
5,19.10733533,72.84812087,2024:10:04 11:31:39
5,19.10725723,72.84807577,2024:10:04 11:31:39
5,19.10718375,72.84804343,2024:10:04 11:31:39
5,19.10711514,72.84801815,2024:10:04 11:31:39
5,19.10702574,72.84797903,2024:10:04 11:31:39
5,19.1069502,72.84795904,2024:10:04 11:31:40
5,19.10687085,72.84792239,2024:10:04 11:31:40
7,19.10678863,72.8478839,2024:10:04 11:31:40
5,19.10671175,72.84787261,2024:10:04 11:31:41
5,19.10663701,72.84783738,2024:10:04 11:31:42
5,19.10655555,72.84781625,2024:10:04 11:31:43
5,19.10646862,72.84779435,2024:10:04 11:31:44
5,19.10640495,72.84777963,2024:10:04 11:31:45
5,19.10636636,72.84776559,2024:10:04 11:31:46
5,19.10638618,72.84777806,2024:10:04 11:31:47
5,19.10634731,72.84777668,2024:10:04 11:31:48
5,19.10632457,72.84776784,2024:10:04 11:31:49
5,19.10629257,72.84775005,2024:10:04 11:31:50
